School.Name,School.Type,Region,Is.Party,STABBR,CONTROL,Tier,COSTT4_A,MN_EARN_WNE_P6,MD_EARN_WNE_P6,PCT25_EARN_WNE_P6,PCT75_EARN_WNE_P6,SD_EARN_WNE_P6,MN_EARN_WNE_INC1_P6,MN_EARN_WNE_INC2_P6,MN_EARN_WNE_INC3_P6,MN_EARN_WNE_MALE0_P6,MN_EARN_WNE_MALE1_P6,MD_EARN_WNE_P8,MN_EARN_WNE_P10,MD_EARN_WNE_P10,PCT25_EARN_WNE_P10,PCT75_EARN_WNE_P10,SD_EARN_WNE_P10,MN_EARN_WNE_INC1_P10,MN_EARN_WNE_INC2_P10,MN_EARN_WNE_INC3_P10,MN_EARN_WNE_MALE0_P10,MN_EARN_WNE_MALE1_P10,BE_MN_P6,BE_MD_P6,BE_MN_P10,BE_MD_P10,ROI_MN_P6,ROI_MD_P6,ROI_MN_P10,ROI_MD_P10
University of Louisiana at Lafayette,State,Southern,FALSE,LA,Public,Selective public,16112,37200,32800,20300,45400,35600,NA,NA,40600,31400,45500,36600,46400,39900,25600,57700,37500,NA,NA,53200,37400,57800,0.346494623655914,0.3929756097560976,0.27779310344827585,0.32304761904761903,130.88381330685203,103.57497517378351,187.98411122144984,147.64150943396226
Bates College,Liberal Arts,Northeastern,FALSE,ME,Private nonprofit,Other elite schools (public and private),61000,46000,43100,26500,56200,30600,78900,44000,50200,42500,49500,46100,74300,59200,40000,85400,66300,NA,NA,74700,63200,83600,1.0608695652173912,1.1322505800464038,0.6567967698519516,0.8243243243243245,-24.59016393442623,-29.34426229508197,21.803278688524593,-2.9508196721311477
Bowdoin College,Liberal Arts,Northeastern,FALSE,ME,Private nonprofit,Other elite schools (public and private),59900,57100,44600,33000,65100,50000,50500,45000,65300,48900,65100,51100,83300,65500,42700,104400,67500,NA,NA,88300,71500,93100,0.83922942206655,1.074439461883408,0.5752701080432173,0.7316030534351146,-4.674457429048414,-25.542570951585976,39.065108514190314,9.348914858096828
Colby College,Liberal Arts,Northeastern,FALSE,ME,Private nonprofit,Other elite schools (public and private),59110,50200,42700,31000,63800,33900,83500,95900,51600,47500,53800,56800,71000,58100,37400,85200,77100,132300,136200,72600,59600,85000,0.9419920318725099,1.107447306791569,0.6660281690140846,0.8139070567986231,-15.073591608864827,-27.761800033835222,20.1150397563864,-1.7086787345626797
Amherst College,Liberal Arts,Northeastern,FALSE,MA,Private nonprofit,Other elite schools (public and private),61544,61600,44100,22000,73500,87900,36000,35600,62300,62000,61200,52600,83300,65000,36200,101500,78400,55100,51100,93400,70900,95000,0.7992727272727274,1.1164444444444446,0.5910588235294117,0.7574646153846154,0.09099181073703368,-28.343949044585987,35.35031847133758,5.615494605485506
College of the Holy Cross,Liberal Arts,Northeastern,FALSE,MA,Private nonprofit,Other elite schools (public and private),57754,55500,49100,35400,68600,34500,35400,38200,59900,51600,60400,56400,88600,71000,51300,104100,73300,46700,50000,91200,75500,104600,0.83249009009009,0.9410020366598778,0.5214808126410836,0.6507492957746479,-3.9027599819925896,-14.984243515600651,53.409287668386604,22.935207950964433
Massachusetts Institute of Technology,Engineering,Northeastern,FALSE,MA,Private nonprofit,Ivy Plus,59020,99600,82200,50800,124100,88000,46200,46200,107600,85600,109400,96200,153600,104700,63000,164900,170800,79600,70500,172100,118900,177100,0.47405622489959837,0.5744038929440389,0.3073958333333333,0.4509646609360076,68.7563537783802,39.274822094205355,160.25076245340563,77.39749237546594
Wentworth Institute of Technology,Engineering,Northeastern,FALSE,MA,Private nonprofit,Selective private,46112,54200,53300,37800,68400,26000,48400,55800,55100,47900,55800,57900,67300,65100,43100,86200,42800,64100,66300,68700,55200,70200,0.680619926199262,0.6921125703564729,0.5481367013372956,0.5666605222734254,17.53990284524636,15.588133240804996,45.948993754337266,41.17800138792505
Williams College,Liberal Arts,Northeastern,FALSE,MA,Private nonprofit,Other elite schools (public and private),61850,51400,42600,19300,65100,44900,43600,41700,61800,45400,58300,49400,89800,59000,35000,99400,112100,117600,78000,85800,77100,102000,0.9626459143968872,1.1615023474178405,0.5510022271714922,0.8386440677966102,-16.895715440582055,-31.123686337914307,45.18997574777688,-4.607922392886015
Worcester Polytechnic Institute,Engineering,Northeastern,FALSE,MA,Private nonprofit,Highly selective private,57637,66300,67500,48300,81300,30500,68600,66100,66000,65100,66600,74200,84600,84900,61300,102200,42700,76500,85200,85800,74000,88400,0.6954690799396682,0.6831051851851853,0.5450307328605202,0.5431048292108364,15.030275690962402,17.11227163107032,46.780713777608135,47.30121276263512
Eastern Michigan University,State,Midwestern,FALSE,MI,Public,Selective public,19532,35300,32000,19500,46700,23600,33000,35900,37300,32900,38400,36700,43900,39300,25000,55800,31400,40200,44000,46500,38200,51200,0.44265155807365436,0.4883,0.35593621867881553,0.39759796437659034,80.72906000409584,63.83370878558263,124.75936924022118,101.20827360229367
Michigan State University,State,Midwestern,FALSE,MI,Public,Selective public,24323,45200,41600,27300,58900,34500,43800,42400,47000,40500,50900,47500,63200,53600,34900,78000,54200,69300,58500,62900,55400,72300,0.430495575221239,0.46775000000000005,0.3078860759493671,0.3630298507462687,85.83233976072032,71.03153393907002,159.83636886897173,120.367553344571
Wayne State University,State,Midwestern,FALSE,MI,Public,Selective public,21021,37900,32600,18700,50700,29300,36900,38200,39500,35300,41700,37100,52300,40800,23300,62700,53900,55500,48600,50800,46700,61000,0.4437150395778364,0.5158527607361963,0.32154493307839394,0.41217647058823537,80.29589458160886,55.08301222586937,148.79882022739167,94.09162266305124
Western Michigan University,State,Midwestern,FALSE,MI,Public,Selective public,22013,35300,32300,19700,46800,22000,31800,35300,37100,31100,39500,38200,50500,45000,29800,65000,34400,46100,49100,52800,42900,58000,0.49887818696883857,0.5452136222910217,0.3487207920792079,0.39134222222222226,60.359787398355515,46.73147685458592,129.4098941534548,104.42465815654387
