School.Name,Family.Income.Tercile,MN_EARN_WNE_INC_P10
Reed College,Middle Income Tercile,NA
University of Oregon,Middle Income Tercile,51000
Bucknell University,Middle Income Tercile,77100
Carnegie Mellon University,Middle Income Tercile,103900
Franklin and Marshall College,Middle Income Tercile,NA
Gettysburg College,Middle Income Tercile,65000
Juniata College,Middle Income Tercile,55200
Lafayette College,Middle Income Tercile,74000
Moravian College,Middle Income Tercile,53700
Swarthmore College,Middle Income Tercile,NA
University of Pennsylvania,Middle Income Tercile,119900
Ursinus College,Middle Income Tercile,64500
Brown University,Middle Income Tercile,75200
University of Rhode Island,Middle Income Tercile,56400
Clemson University,Middle Income Tercile,58200
Austin Peay State University,Middle Income Tercile,41600
University of Memphis,Middle Income Tercile,43900
Tennessee Technological University,Middle Income Tercile,46600
Lamar University,Middle Income Tercile,46200
Tarleton State University,Middle Income Tercile,48500
University of Utah,Middle Income Tercile,65200
Utah State University,Middle Income Tercile,47200
Southern Utah University,Middle Income Tercile,44700
Middlebury College,Middle Income Tercile,61000
University of Vermont,Middle Income Tercile,52200
Randolph-Macon College,Middle Income Tercile,NA
Virginia Commonwealth University,Middle Income Tercile,48600
University of Richmond,Middle Income Tercile,64400
George Mason University,Middle Income Tercile,64400
Virginia Polytechnic Institute and State University,Middle Income Tercile,64400
Washington and Lee University,Middle Income Tercile,NA
Eastern Washington University,Middle Income Tercile,47600
University of Puget Sound,Middle Income Tercile,62200
Washington State University,Middle Income Tercile,56200
Western Washington University,Middle Income Tercile,50100
Whitman College,Middle Income Tercile,NA
University of Wyoming,Middle Income Tercile,51600
University of Central Florida,Middle Income Tercile,51400
Florida International University,Middle Income Tercile,52500
Auburn University,Highest Income Tercile,58300
University of Alabama at Birmingham,Highest Income Tercile,49300
University of Arkansas,Highest Income Tercile,57200
California Institute of Technology,Highest Income Tercile,NA
California State University-Fullerton,Highest Income Tercile,55100
California State University-East Bay,Highest Income Tercile,65500
California State University-Long Beach,Highest Income Tercile,54300
California State University-Dominguez Hills,Highest Income Tercile,57800
California State University-Chico,Highest Income Tercile,59300
Humboldt State University,Highest Income Tercile,39200
California State University-Sacramento,Highest Income Tercile,58300
San Diego State University,Highest Income Tercile,59300
California State University-Northridge,Highest Income Tercile,51900
San Francisco State University,Highest Income Tercile,55600
San Jose State University,Highest Income Tercile,67800
California State University-Stanislaus,Highest Income Tercile,52000
Harvey Mudd College,Highest Income Tercile,93000
Pomona College,Highest Income Tercile,88200
Occidental College,Highest Income Tercile,58200
University of California-Berkeley,Highest Income Tercile,80100
University of California-Davis,Highest Income Tercile,67200
University of California-Irvine,Highest Income Tercile,64600
University of California-Riverside,Highest Income Tercile,57300
University of California-San Diego,Highest Income Tercile,68300
University of California-Santa Barbara,Highest Income Tercile,68200
University of California-Santa Cruz,Highest Income Tercile,55900
Colorado College,Highest Income Tercile,52900
Colorado School of Mines,Highest Income Tercile,95300
Fort Lewis College,Highest Income Tercile,42900
University of Connecticut,Highest Income Tercile,67600
Wesleyan University,Highest Income Tercile,65100
Yale University,Highest Income Tercile,124100
University of Delaware,Highest Income Tercile,67900
Florida Atlantic University,Highest Income Tercile,51300
Florida State University,Highest Income Tercile,54800
University of Florida,Highest Income Tercile,68500
Georgia State University,Highest Income Tercile,50200
University of Georgia,Highest Income Tercile,60900
Boise State University,Highest Income Tercile,46100
Idaho State University,Highest Income Tercile,47700
University of Idaho,Highest Income Tercile,50600
Illinois Institute of Technology,Highest Income Tercile,72400
Illinois State University,Highest Income Tercile,53600
Northern Illinois University,Highest Income Tercile,52300
Ball State University,Highest Income Tercile,46900
DePauw University,Highest Income Tercile,72100
Grinnell College,Highest Income Tercile,63000
Iowa State University,Highest Income Tercile,57600
University of Iowa,Highest Income Tercile,61400
Pittsburg State University,Highest Income Tercile,48400
Kansas State University,Highest Income Tercile,54700
University of Kansas,Highest Income Tercile,58700
Morehead State University,Highest Income Tercile,44800
University of Kentucky,Highest Income Tercile,55300
University of Louisiana at Lafayette,Highest Income Tercile,53200
Bates College,Highest Income Tercile,74700
Bowdoin College,Highest Income Tercile,88300
Colby College,Highest Income Tercile,72600
Amherst College,Highest Income Tercile,93400
College of the Holy Cross,Highest Income Tercile,91200
Massachusetts Institute of Technology,Highest Income Tercile,172100
Mount Holyoke College,Highest Income Tercile,54700
Smith College,Highest Income Tercile,54100
Wellesley College,Highest Income Tercile,68900
Wentworth Institute of Technology,Highest Income Tercile,68700
Williams College,Highest Income Tercile,85800
Worcester Polytechnic Institute,Highest Income Tercile,85800
Eastern Michigan University,Highest Income Tercile,46500
Michigan State University,Highest Income Tercile,62900
Wayne State University,Highest Income Tercile,50800
Western Michigan University,Highest Income Tercile,52800
Carleton College,Highest Income Tercile,71000
Gustavus Adolphus College,Highest Income Tercile,60700
Saint Olaf College,Highest Income Tercile,61400
Mississippi State University,Highest Income Tercile,52700
University of Mississippi,Highest Income Tercile,57400
Montana State University-Billings,Highest Income Tercile,44800
University of Nevada-Reno,Highest Income Tercile,59100
University of Nevada-Las Vegas,Highest Income Tercile,51900
Dartmouth College,Highest Income Tercile,111100
Princeton University,Highest Income Tercile,114700
Stevens Institute of Technology,Highest Income Tercile,91900
New Mexico Institute of Mining and Technology,Highest Income Tercile,60300
Colgate University,Highest Income Tercile,88700
Cornell University,Highest Income Tercile,98200
Hamilton College,Highest Income Tercile,80900
Rensselaer Polytechnic Institute,Highest Income Tercile,84800
